Water system name,Water body type,Water body name,Water body abbraviation,Sampling station,Sample name,Sampling date,Sample type,Latitude,Longitude,Elevation,Sample memo,pH,Temperature [C],Alkalinity [meq/L],Electrical conductivity [mS/m],Oxidation-reduction potential [mV],Dissolved oxygen [mg/L],Flow rate [m3/s],Na+ [ppm],Ca++ [ppm],K+ [ppm],Mg++ [ppm],Si [ppm],Cl- [ppm],SO4-- [ppm],NO2- [ppm],NO3- [ppm],Ionic strength [mol/kgw],Charge imbalance [eq],Charge imbalance [%],log a Ca++,log a Mg++,log a CO3--,si_CO2(g),si_Monohydrocalcite,si_AMC_TK,si_MSH075KF,si_Gypsum,HCO3- [ppm]
Boon Tsagaan Lake,River,Baidrag River,BD,T,BD_T,2024-08-04,Water,46.174694,99.025444,,"Little water, No flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boon Tsagaan Lake,Well,Boon Tsagaan Lake,BTS,Well 2,BTS_Well_2,2024-08-02,Water,45.617546,99.256193,,,7.68,12.9,2.2,85.6,139.0,4.19,,11.2,39.9,1.78,9.22,5.96,4.27,33.0,0.71,2.99,0.0047955891497413845,1.070698465259587e-05,0.16879136744049947,-3.1442594659842085,-3.5619666317445886,-5.483582121479763,-2.6282145111045994,-1.3115004310005007,-3.319281064823491,-1.9976996482917855,-2.2662806366791237,140.75258583697982
Boon Tsagaan Lake,Well,Boon Tsagaan Lake,BTS,West,BTS_West,2024-08-02,Water,45.613468,98.938962,,Dried Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boon Tsagaan Lake,Well,Boon Tsagaan Lake,BTS,South,BTS_South,2024-08-03,Water,45.580519,99.296081,1310.0,Water level is Altitude - 2m,7.48,20.3,2.19,28.5,215.0,4.72,,14.0,32.3,2.02,7.97,6.9,3.27,17.9,0.6,2.17,0.004085344329784379,7.556772144926178e-05,1.3381810754516008,-3.2249495677536273,-3.614147129441517,-5.610729069613039,-2.3785568870323415,-1.5905543441078538,-3.5698211247775262,-2.2729133279531757,-2.5954690999343475,143.20761277029837
Orog Lake,River,Tuin River,Tuin River,1,Tuin_river_01,2024-08-01,Water,45.191611,100.779556,1268.0,,8.49,24.0,2.65,40.5,146.0,4.85,0.109,20.6,43.7,2.25,9.28,5.42,15.0,35.2,1.2,0.0,0.00537146920097164,6.188359625677398e-06,0.08447693402120592,-3.1331866872899465,-3.5811802921764286,-4.522588340679316,-3.318961363255278,-0.4432036610532202,-2.4812832538060086,-0.8529498770776511,-2.229812256738157,156.28119717335045
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,1,BTS_01,2024-08-31,Water,45.61345,99.24549,,Collected by Baaska,8.85,21.6,5.85,208.0,99.0,5.94,,341.8905541,30.35115044,20.55976808,45.77062496,2.193473089,103.0,150.0,0.0,0.0,0.018798791521616887,0.008799295838303509,28.99078515667848,-3.4394379985801753,-3.0183836279945706,-3.907919131007868,-3.4188143882494497,-0.11406250629940518,-1.2834112385929335,-0.32034702341290444,-2.0439910182528207,330.75218924309695
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,2,BTS_02,2024-08-31,Water,45.669238,99.162821,,Collected by Baaska,9.37,21.4,15.8,862.0,127.0,12.1,,1680.0,30.22792149,100.4957514,263.8614915,0.77,1680.0,1800.0,0.0,0.0,0.10796514088849901,-0.0018034792884389847,-1.042638927157891,-3.778850116640675,-2.57758509051847,-3.230634688902428,-3.780087956024448,0.22462730939254882,-0.16643194663518823,0.09646647893823612,-1.59006915406355,744.64106913202
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-08-31,Water,45.607648,99.97885,,"Collected by Baaska, ORP was saying negative maybe something wrong",9.39,21.3,14.2,760.0,-25.0,7.99,,1500.0,26.47704957,96.48251114,222.3788214,1.72,1620.0,1980.0,0.0,0.0,0.10432254265491832,-0.013792335432594262,-8.395238649328205,-3.8397539611498797,-2.6659271131934488,-3.2430784414851797,-3.832363010813795,0.15224516359087747,-0.2661038530930062,0.4163464702232824,-1.586307691818635,673.6080339263867
Boon Tsagaan Lake,River,Baidrag River,BD,E1,BD_E1,2024-08-31,Water,45.627231,99.270925,,"Collected by Baaska, large one",8.5,19.8,1.63,21.3,117.0,5.53,16.2,8.94,25.64241468,1.712550636,8.098310604,4.500902154,10.0,21.1,0.0,0.96,0.0034449607517154147,-4.131046278594235e-05,-0.8969651353926671,-3.326056544318849,-3.60427843963403,-4.743751662435916,-3.5502772253550674,-0.820123684058955,-2.6883985786705185,-0.9336402335278553,-2.611912223989533,97.10854769040931
Boon Tsagaan Lake,River,Baidrag River,BD,E2,BD_E2,2024-08-31,Water,45.631383,99.269986,,"Collected by Baaska, small one, Another tributary existed except BD River Estuary 1 and 2",8.3,20.5,1.63,21.5,121.0,5.44,2.23,8.87,25.46288641,1.68872612,8.018988922,4.485522524,12.2,26.3,0.02,1.23,0.003572595961633714,-0.00025149562201902967,-5.2523222387440285,-3.3287537451029823,-3.6114672470529663,-4.928735291393201,-3.3370839140705,-1.0141682313959985,-2.8869369604558535,-1.2356306774133916,-2.519831364642876,98.5606640936987
